cbcl1,cbcl2,cbcl3,cbcl4,cbcl5,cons
uses_drugs_nonmedical_desc,uses_drugs_nonmedical_desc_0b55d4,uses_drugs_nonmedical_desc_3b8f4f,uses_drugs_nonmedical_desc_v4,uses_drugs_nonmedical_desc_v4_v5,uses_drugs_nonmedical_desc
vandalism,vandalism_08e779,vandalism_cb9e69,vandalism_v4,vandalism_v4_v5,vandalism
wets_self_daytime,wets_self_daytime_835e4a,wets_self_daytime_5d82ee,wets_self_daytime_v4,wets_self_daytime_v4_v5,wets_self_daytime
wets_bed,wets_bed_26cb7a,wets_bed_e801f3,wets_bed_v4,wets_bed_v4_v5,wets_bed
whining,whining_75e85c,whining_c51702,whining_v4,whining_v4_v5,whining
wishes_to_be_opposite_sex,wishes_to_be_opposite_sex_c766f1,wishes_to_be_opposite_sex_387618,wishes_to_be_opposite_sex_v4,wishes_to_be_opposite_sex_v4_v5,wishes_to_be_opposite_sex
withdrawn,withdrawn_cc3311,withdrawn_73895b,withdrawn_v4,withdrawn_v4_v5,withdrawn
worries,worries_19dfb4,worries_a50963,worries_v4,worries_v4_v5,worries
other_problems,other_problems_c199c5,other_problems_64f8a6,other_problems_v4,other_problems_v4_v5,other_problems
cbclasr_complete,cbclasr_b57dca_complete,cbclasr_0e3194_complete,cbcl_child_4_complete,cbcl_child_5_complete,cbcl_complete
