PID,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
SP0250520,0.052113463952409546,0.012627571904164168,0.04250122796485293,0.018399006712874536,0.06386781640561043,0.016331932543797414,0.0560497735087049,0.012873164874747586,0.044957157670687115,0.022164765595153624,0.06854090487365606,0.017382524695737582
SP0204335,0.05092909256725947,0.0047879616963064295,0.03770519835841313,0.011912904696762415,0.06389648882808939,0.012511399908800729,0.0616735066119471,0.005101459188326494,0.04748062015503875,0.02322731418148656,0.08367533059735523,0.014477884176926581
SP0314440,0.06742864054184809,0.010199967747137557,0.05099983873568778,0.02041001451378812,0.08943114013868729,0.013243831640058063,0.05390259635542654,0.009010643444605709,0.039217464925012095,0.014040074181583621,0.06556402193194646,0.010593049508143848
SP0104675,0.054611754611754604,0.007722007722007722,0.04664843414843412,0.01571750321750323,0.06167953667953677,0.01246246246246247,0.05552338052338053,0.008376233376233378,0.05146932646932647,0.020318532818532808,0.08216430716430716,0.013508151008151007
SP0284470,0.0429532067209953,0.009104967767719064,0.04854824416604406,0.02167642612639222,0.088026272349742,0.013292557905162374,0.04674115132664941,0.009574116870254208,0.051953919132595436,0.01962607078938681,0.08825215895466629,0.012319507914719115
SP0242393,0.05114342530449913,0.008376833209047979,0.05776162068108375,0.02783370618941089,0.1054250559284116,0.013882674620929665,0.033122048222719365,0.007879691772309221,0.03568854088988317,0.01503852846134726,0.058308476261496406,0.008718617946805866
SP0282295,0.05308073336919491,0.008080060964676348,0.05023982427828581,0.020334633315402584,0.07634592971131433,0.017880356822664527,0.062466379774072094,0.007749462076385153,0.05566949076564462,0.023679845795230383,0.08522166935628472,0.020099291733907114
SP0125414,0.045926339285714296,0.009040178571428567,0.0396763392857143,0.015234374999999977,0.071875,0.01264508928571429,0.047466517857142856,0.008939732142857142,0.04649553571428572,0.01753348214285716,0.07535714285714286,0.013303571428571442
SP0104088,0.05064490912644127,0.0027946062145788536,0.03395544264217315,0.010191518467852254,0.05392808286105139,0.0160641000586281,0.05784639437170217,0.003908540160250145,0.044576900527652924,0.02079343365253078,0.06291772522962674,0.02034395153410201
SP0016572,0.04332618225911761,0.009117619625034976,0.043862512825296164,0.013991232161178981,0.06729782669527094,0.012358921742374778,0.052537076765227134,0.00888443242234866,0.05321331965301744,0.02280570842272178,0.0852299225818487,0.015273761775953729
SP0010304,0.0549506237006237,0.007965176715176719,0.04736226611226612,0.01851611226611226,0.06878898128898124,0.010641891891891887,0.053638253638253634,0.007484407484407485,0.04927234927234926,0.018412162162162172,0.08101611226611227,0.011499480249480248
SP0027453,0.06081578947368419,0.005302631578947374,0.03319736842105263,0.012539473684210514,0.06028947368421054,0.013907894736842103,0.07207894736842105,0.00443421052631579,0.04040789473684211,0.017657894736842105,0.07153947368421053,0.016144736842105253
SP0243663,0.05680952380952381,0.006349206349206346,0.04323809523809524,0.018603174603174604,0.08350793650793648,0.010126984126984134,0.04803174603174603,0.006507936507936506,0.03641269841269842,0.01146031746031747,0.06287301587301587,0.008603174603174606
SP0274765,0.0625294864815823,0.009961894393032116,0.05828343313373252,0.021520595173289782,0.06623117401560517,0.014244238795137,0.05421883505715841,0.009925603338776994,0.05652331700235893,0.022899655234984568,0.06340047178370532,0.014262384322264563
SP0023492,0.050095611916264104,0.006466384863123997,0.04294987922705315,0.014995974235104667,0.07558373590982287,0.01091988727858292,0.04888788244766506,0.00603864734299517,0.04216988727858293,0.012806964573268933,0.07188506441223833,0.01119665861513689
SP0304469,0.05664106502816181,0.005785970302099335,0.0425499231950845,0.020061443932411667,0.07398873527905783,0.015750128008192518,0.051100870455709164,0.005693804403481823,0.04110599078341014,0.01874039938556068,0.07261648745519714,0.015954941116231438
SP0012724,0.043818586447701625,0.008805924334279798,0.04690737472181719,0.01812984421763487,0.07455298902616836,0.013199293991251628,0.04481620750517995,0.008748369273271434,0.04961246258921034,0.018475174583685056,0.06668713068835852,0.012547003299823499
SP0194474,0.06158764152874666,0.0055509188542273566,0.036951010188495025,0.013085995937199843,0.06467410988457242,0.009385383367714911,0.0636269152638458,0.005944601042470432,0.0385336125852322,0.015975623198903978,0.07276034203108514,0.01099948033951151
SP0262020,0.06328622035858877,0.006569910352805087,0.04099190283400811,0.019013880855986112,0.07733877964141124,0.01919462116830538,0.0602317090803933,0.006235540775014458,0.03669028340080971,0.015100853094274147,0.07023568536726432,0.01783906882591092
SP0030573,0.05987261146496816,0.008485720156153693,0.03953153893568933,0.015553729196630353,0.07131703307992601,0.011649886994041497,0.06348880213683995,0.007478939798643927,0.043599753441545104,0.020608177522087535,0.07211834805835216,0.010766385863981919
SP0088037,0.049091155724362456,0.00914270211611503,0.04220021703743898,0.014758545849158955,0.07044221378187737,0.014812805208898536,0.0548290830168204,0.00922409115572436,0.046839392295170895,0.016847531199131877,0.07966630493760173,0.016169289202387402
SP0244892,0.04441828276882448,0.005679558362632643,0.040568274018804584,0.009656840129182104,0.06089218384587239,0.011701162957188536,0.051012615937763496,0.005520467091970665,0.04882511096616128,0.018009131838936005,0.08132745756240357,0.01338753042620551
SP0288437,0.05505924245288965,0.008059179429003594,0.055910064914602646,0.020837272326211603,0.0734307052372849,0.013762841116783256,0.05228619146656582,0.00812220331505641,0.052632822839856284,0.017709711980840766,0.06416619398752128,0.012360559652108152
SP0079075,0.05424174174174173,0.011139264264264271,0.05121996996996996,0.01985735735735734,0.05961899399399403,0.012387387387387394,0.05925300300300301,0.011139264264264261,0.0563626126126126,0.024352477477477485,0.0668262012012012,0.012725225225225227
SP0012329,0.05128222728645561,0.00904697839158727,0.053691551577386684,0.02145053677823234,0.08055105570961804,0.020112023283270636,0.0396474561379424,0.008031080969770187,0.04269514840339365,0.014208835561901086,0.061413744817550325,0.017311441201504636
SP0296490,0.04974808461025983,0.010180712858094606,0.0522776482345103,0.02346352431712192,0.08012887241838772,0.015848809127248495,0.04107157728181213,0.009727889740173221,0.041779438707528316,0.014152023650899404,0.05866922051965357,0.013209943371085943
SP0141033,0.04139091577577918,0.00919169636291645,0.050957350528876094,0.017245036483964016,0.07092454324339607,0.013914814186322766,0.038456643475309686,0.010153289213190793,0.05486735675094744,0.022321681090559427,0.08203235477119747,0.015449120425363424
SP0322535,0.06720116319551105,0.0071846436348494466,0.04494412702313422,0.015096284464104076,0.07978538223669389,0.011188247902630155,0.05882192323182678,0.00606854935048091,0.043012294102789894,0.013969950782631253,0.06777456943335175,0.009819581823022255
SP0142810,0.05311355311355312,0.008257824047297729,0.04242979242979242,0.012450999293104573,0.05963627016258597,0.013270355375618534,0.06072874493927125,0.008257824047297732,0.04887218045112783,0.0168851616220037,0.0705128205128205,0.01494119915172546
SP0159507,0.06195749322103222,0.005491342614333542,0.037606229076091055,0.020299032008846755,0.06650205262599787,0.021420023328738276,0.05921560904670292,0.005907927226455391,0.038060685016587645,0.018950812718706928,0.06848651023283292,0.02207898444245832
SP0016789,0.04144833676773623,0.008340692768128743,0.04423510941026396,0.01352173486409577,0.042723972132273594,0.016593072318712584,0.05667746050436661,0.009292513001668137,0.055499950937101375,0.025964085958198404,0.07015994504955353,0.022294181140221768
SP0017107,0.057610326044051474,0.0070359990526565105,0.04641983105707744,0.016440356832714942,0.07335004341991,0.018680429462382575,0.05639654219625799,0.007391252861766795,0.0465185126707192,0.016006157732691245,0.07049814478566353,0.019085024078313733
SP0085026,0.05272620676177448,0.005833496189173345,0.03958374047293334,0.01671878053547001,0.06926910299003325,0.01137385186632793,0.05372288450263826,0.006214578854797731,0.04068790306820402,0.01773500097713504,0.07530779753761971,0.012145788547977338
SP0327496,0.042917726887192545,0.010008481764206956,0.04512298558100085,0.014192818772971436,0.06621430590896238,0.013316369804919424,0.041504099519366684,0.009386485722363587,0.043850720949957574,0.01668080294034494,0.07141645462256149,0.012977099236641223
SP0126065,0.051666666666666666,0.009512820512820513,0.050833333333333355,0.02188461538461539,0.07155128205128203,0.021717948717948715,0.040141025641025646,0.00923076923076923,0.04060256410256409,0.01597435897435899,0.06007692307692306,0.018076923076923074
SP0367806,0.06419459218209543,0.0037564622308178673,0.03698813553018188,0.02103246922304456,0.06968051474690372,0.010544129133038255,0.060456726298954884,0.0037006731877859186,0.037341466136050896,0.019042660021571754,0.0692156060549708,0.01123219399709897
SP0036981,0.055577830188679234,0.010259433962264152,0.05443396226415093,0.020683962264150924,0.08356132075471695,0.01820754716981132,0.05119103773584906,0.009941037735849057,0.05049528301886793,0.01995283018867925,0.0756367924528302,0.01681603773584905
SP0288732,0.04004728132387707,0.006359338061465725,0.047092198581560274,0.015791962174940895,0.07962174940898352,0.013829787234042552,0.037659574468085114,0.006122931442080379,0.04609929078014184,0.013593380614657206,0.07283687943262412,0.014278959810874708
SP0078830,0.05842508635578583,0.006921955958549224,0.03868469343696026,0.01844505613126081,0.07994656735751293,0.015098769430051808,0.054593048359240066,0.007056886873920551,0.037767163212435235,0.015557534542314332,0.07036647236614851,0.014437607944732294
SP0026204,0.05018159270085926,0.009487111347329259,0.04576136061652936,0.01894764815306936,0.07765081052351845,0.017982106475329974,0.05539906103286385,0.00949596952785898,0.047222960403933034,0.018947648153069353,0.08137124634600054,0.017406324740898232
SP0050183,0.047325826882477134,0.0060989913206661965,0.04415904292751584,0.021545859723199633,0.07417311752287113,0.010649777152240213,0.05794041754632888,0.006509500351864883,0.051771053248885764,0.02810227539291578,0.08835327234342011,0.011376964578935032
